"types: Descending",Count
"release_track","13,320,790"
recording,"10,247,596"
single,"7,401,739"
person,"3,427,260"
namespace,"2,668,419"
isbn,"2,667,828"
"written_work","1,949,739"
book,"1,880,592"
"cataloged_instance","1,567,688"
location,"1,410,050"
"tv_series_episode","1,371,116"
release,"1,241,517"
"creative_work","1,163,308"
"book_edition","1,101,033"
album,"1,051,133"
"fictional_character","1,037,063"
"film_character","863,059"
organization,"804,094"
artist,"722,312"
"deceased_person","597,975"
"statistical_region","574,296"
author,"537,513"
"consumer_product","492,296"
actor,"478,485"
"dated_location","476,983"
composition,"449,932"
"measured_person","406,159"
citytown,"404,601"
"business_operation","404,213"
"pro_athlete","403,272"
employer,"379,278"
"organism_classification","300,019"
film,"270,887"
"group_member","240,127"
"musical_group","219,220"
event,"194,023"
"educational_institution","163,488"
"football_player","153,564"
"award_nominee","151,644"
"tv_character","136,090"
structure,"135,367"
writer,"129,770"
producer,"127,677"
school,"124,316"
"award_winner","121,616"
gene,"121,520"
"gene_group_membership_evidence","119,446"
"award_nominated_work","117,522"
"gene_ontology_group_membership_evidence","112,741"
"project_focus","102,433"
